"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2139]DH17096","1","0","1","146","6","86","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2139]DH17096","2","0","2","40","13","57","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2141]DH17212","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2141]DH17212","1","0","1","204","28","163","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2141]DH17212","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2142]DH17172","0","0","0","16","2","32","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2142]DH17172","1","0","1","37","10","74","7"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2142]DH17172","2","0","2","60","9","45","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2150]DH17244","0","0","0","41","10","54","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2150]DH17244","1","0","1","65","0","25","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2150]DH17244","2","0","2","21","0","29","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2151]DH17169","0","0","0","176","2","47","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2151]DH17169","1","0","1","33","1","52","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2151]DH17169","2","0","2","63","0","63","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2152]DH17234","0","0","0","83","16","48","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2152]DH17234","1","0","1","11","1","66","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2152]DH17234","2","0","2","17","2","61","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2153]DH17254","0","0","0","84","2","34","0"
